C050 4A
C051 4B
C052 4C
C053 4D
C054 4E
C055 4E
C056 4E
C057 4E
C058 4E
C059 4E
C060 5D
C061 FF
C062 A0
C063 A4
C064 A9
C065 A9
C066 A9
C067 A9
C068 A9
C069 45
C070 4A
C071 B8
C072 9F
C073 F8
C074 C0
C075 C0
C076 58
C077 9F
C078 9F
C079 9F
C080 C0
C082 49
C081 C0
C086 C0
C087 C0
C090 A0
C05A 4E
C05B 9F
C05C 50
C05D 55
C05E 59
C05F 5C
C06A 46
C06B 46
C06C 46
C06D AA
C06E AD
C06F F2
C07A 9F
C07B 9F
C07C 9F
C07D 9F
C07E 4A
C07F 58
C083 49
C084 49
C085 58
C088 C0
C089 C0
C08A C0
C08B C0
C08C C0
C08D C0
C08E C0
C08F A0
C091 A0
C092 A0
C093 A0
C094 A0
C095 A0
C096 A0
C097 A0
C098 A0
C099 A0
C09A A0
C09B A0
C09C A0
C09D A0
C09E A0
C09F A0
C0A0 A0
C0A1 A0
C0A2 A0
C0A3 A0
C0A4 A0
C0A5 A0
C0A6 A0
C0A7 A0
C0A8 A0
C0A9 A0
C0AA A0
C0AB A0
C0AC A0
C0AD A0
C0AE A0
C0AF A0
C0B0 A0
C0B1 A0
C0B2 A0
C0B3 A0
C0B4 A0
C0B5 A0
C0B6 A0
C0B7 A0
C0B8 A0
C0B9 A0
C0BA A0
C0BB A0
C0BC A0
C0BD A0
C0BE A0
C0BF A0
C0C0 A0
C0C1 A0
C0C2 A0
C0C3 A0
C0C4 A0
C0C5 A0
C0C6 A0
C0C7 A0
C0C8 A0
C0C9 A0
C0CA A0
C0CB A0
C0CC A0
C0CD A0
C0CE A0
C0CF A0
C0D0 A0
C0D1 A0
C0D2 A0
C0D3 A0
C0D4 A0
C0D5 A0
C0D6 A0
C0D7 A0
C0D8 A0
C0D9 A0
C0DA A0
C0DB A0
C0DC A0
C0DD A0
C0DE A0
C0DF A0
C0E0 A0
C0E1 A0
C0E2 A0
C0E3 A0
C0E4 A0
C0E5 A0
C0E6 A0
C0E7 A0
C0E8 48
